Key|Name|Region|Altitude_m|Country|Lat|Lng|Type|Notes|City_Col_Index|Col_Index|Temp_Seasonality|Rain_Seasonality|AHT|AHT_Max|AHT_Min|AR_Total|Record_Temps
Asgabat|Asgabat|Central Asia|211|Turkmenistan|"37°57'0.0"" N"|"58°22'59.9"" E"|2|Hot desert climate|49|FF|||23.8|38.3|8.6|201|46.7
Ash_Shariqah|Ash Shariqah|Central Asia|156|United Arab Emirates|"25°21'43.9"" N"|"55°23'28.0"" E"|2|Hot desert climate|50|FG|||34|42.2|24.2|106.9|49.2
Ashgabat|Ashgabat|Central Asia|219|Turkmenistan|"37°57'0.0"" N"|"58°22'59.9"" E"|2|Hot desert climate|51|FH|||23.8|38.3|8.6|201|46.7
Asmara|Asmara|Africa|2325|Eritrea|"15°19'59.9"" N"|"38°55'59.9"" E"|2|Hot semi-arid climate|52|FI|||23.1|25.1|21.5|518.6|
Astana|Astana|Central Asia|347|Kazakhstan|"51°10'0"" N"|"71°26'0"" E"|2|Humid continental (mild summer, wet all year) / subarctic (cool summer, wet all year) climate|53|FJ|||8.9|26.8|-9.9|320|-51.6
Astrakhan|Astrakhan|Russia|28|Russian Federation|"46°20'57.8"" N"|"48°2'57.1"" E"|2|Hot semi-arid climate|54|FK|||15.9|32|-0.1|234|-33.6
Asuncion|Asuncion|South America|55|Paraguay|"25°16'0.1"" S"|"57°40'0.1"" W"|2|Humid subtropical / tropical savanna climate|55|FL|||28.4|33.5|23.1|1401.2|
Aswan|Aswan|Africa|194|Egypt|"24°05'20"" N"|"32°53'59"" E"|2|Hot desert climate|56|FM|||33.6|41.4|22.9|1.4|49.5
Athens|Athens|Europe|147|Greece|"37°58'59.9"" N"|"23°43'59.9"" E"|2|Hot summer Mediterranean climate|57|FN|||22.7|33.7|13.3|414.1|
Auckland|Auckland|South-East Asia|44|New Zealand|"36°50'26"" S"|"174°44'24"" E"|2|Oceanic / humid subtropical climate|58|FO|||19|23.7|14.7|1212.5|
Austin|Austin|North America|163|United States of America|"30°16'0.8"" N"|"97°44'34.1"" W"|2|Hot desert climate|59|FP|||26.5|36.1|16.4|871.9|44.4
Bacolod_City|Bacolod City|South-East Asia|9|Philippines|"10°39'58.0"" N"|"122°57'0.0"" E"|2|Tropical monsoon climate|60|FQ|||31.7|34|31|1967|
Baghdad|Baghdad|Central Asia|41|Iraq|"33°20'19.0"" N"|"44°23'38.0"" E"|2|Hot desert climate|61|FR|||30.6|44|15.5|122.8|50
Dublin|Dublin|Europe|9|Ireland|"53°19'59.2"" N"|"6°14'56.0"" W"|1|Oceanic climate|62|FS|||13.8|20.2|8.8|714.4|
Baku|Baku|Central Asia|-28|Azerbaijan|"40°23'43.1"" N"|"49°52'55.9"" E"|2|Cold semi-arid climate|63|FT|||18.1|30.6|6.3|210|
Balikpapan|Balikpapan|South-East Asia|1|Indonesia|"1°16'60.0"" S"|"116°49'58.8"" E"|2|Tropical monsoon climate|64|FU|||29.3|30|29|2710|
Baltimore|Baltimore|North America|2|United States of America|"39°17'25.1"" N"|"76°36'45.0"" W"|2|Humid subtropical / humid continental (hot summer, wet all year) climate|65|FV|||19.1|31.7|5.8|1038.62|
Bamako|Bamako|Africa|350|Mali|"12°39'0.0"" N"|"8°0'0.0"" W"|2|Hot semi-arid climate|66|FW|||35|39.6|31.1|991.3|
Bangalore|Bangalore|South Asia|917|India|"12°58'59.9"" N"|"77°34'59.9"" E"|2|Tropical savanna climate|67|FX|||29.5|35.8|26.2|974.5|
Bangkok|Bangkok|South-East Asia|2|Thailand|"13°45'0.0"" N"|"100°31'1.2"" E"|1|Tropical savanna climate|68|FY|||33.3|35.4|31.7|1648.2|
Bangui|Bangui|Africa|379|Central African Republic|"4°22'0.0"" N"|"18°34'59.9"" E"|2|Tropical savanna climate|69|FZ|||31.6|34|29.7|1545|
Banjarmasin|Banjarmasin|South-East Asia|1|Indonesia|"3°19'60.0"" S"|"114°34'58.8"" E"|2|Tropical monsoon climate|70|GA|||30.4|31|29|2490|
Baoding|Baoding|North-East Asia|13|China|"38°51'4.0"" N"|"115°29'24.0"" E"|2|Cold semi-arid climate|71|GB|||18.7|31.7|2.5|512.5|
Baoji|Baoji|North-East Asia|570|China|"34°21'13.0"" N"|"107°22'30.0"" E"|2|Humid continental (hot summer, wet all year) climate|72|GC|||18.5|30.9|5.1|656.3|
Barcelona|Barcelona|Europe|900|Spain|"41°22'59.9"" N"|"2°10'60.0"" E"|1|Hot summer Mediterranean climate|73|GD|||20.4|28.5|13.6|579|
Barnaul|Barnaul|Russia|161|Russian Federation|"53°21'20.9"" N"|"83°45'7.9"" E"|2|Humid continental (mild summer, wet all year) / subarctic (cool summer, wet all year) climate|74|GE|||8.5|26.3|-10.8|442|-48.2
Barrow,_Alaska|Barrow, Alaska|North America|10|United States of America|"71°17'44"" N"|"156°45'59"" W"|2|Tundra climate|75|GF|||-8.2|8|-22|113.3|-49
Basrah|Basrah|Central Asia|32|Iraq|"30°29'44.2"" N"|"47°49'3.0"" E"|2|Hot desert climate|76|GG|||31.2|41.8|17.7|152|
Beijing|Beijing|North-East Asia|59|China|"39°55'44.0"" N"|"116°23'16.8"" E"|1|Humid continental (hot summer, dry winter) / humid subtropical (dry winter, wet summer) climate|77|GH|||17.9|30.9|1.8|571.8|-27.4
Beirut|Beirut|Central Asia|54|Lebanon|"33°52'18.8"" N"|"35°30'34.9"" E"|2|Hot summer Mediterranean climate|78|GI|||24.3|30.7|17.4|825.5|
Belem|Belem|South America|1|Brazil|"1°26'60.0"" S"|"48°28'59.9"" W"|2|Tropical rainforest climate|79|GJ|||31.5|32.3|30.4|2921.8|
